FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,Scores,SchemeType,NewRatingPending,Geocode,AddressLine2,AddressLine3,PostCode,AddressLine1,AddressLine4
1818417,AC-072024-007614,99 Reasons,Restaurant/Cafe/Canteen,1,4,fhrs_4_en-GB,2024-10-18,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,99 Manchester Road,Chorlton,M21 9GA,,Manchester
1906916,AC122025-25388,9inety6ix,Pub/bar/nightclub,7843,5,fhrs_5_en-GB,2026-02-05,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,3 Jack Rosenthal Street,Manchester,M15 4RA,,
1822021,AC112024-19092,9ja Jollof,Other catering premises,7841,5,fhrs_5_en-GB,2026-02-26,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,,,,,
1831277,AC-072024-013341,A & A News,Retailers - other,4613,5,fhrs_5_en-GB,2025-08-01,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,245 Princess Road,Manchester,M14 7LT,,
1819385,AC-072024-013947,A & A Pharmacy,Retailers - other,4613,Exempt,fhrs_exempt_en-GB,,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,58 Wilmslow Road,Manchester,M14 5AL,,
1831265,AC-072024-013276,A & C Booth,Retailers - other,4613,5,fhrs_5_en-GB,2025-09-24,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,229 Hill Lane,Manchester,M9 6RG,,
1816086,AC-072024-013465,A & H Off Licence Ltd,Retailers - other,4613,4,fhrs_4_en-GB,2025-04-10,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,92 Cobden Street,Manchester,M9 4DZ,,
1821205,AC-072024-016162,A & J Off Licence,Retailers - other,4613,4,fhrs_4_en-GB,2025-03-07,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,20 Hart Road,Manchester,M14 7LE,,
1820136,AC-072024-014885,A & S Off Licence also T/as Go Local,Retailers - other,4613,5,fhrs_5_en-GB,2018-04-06,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,168 Stretford Road,Manchester,M15 5TL,,
1821856,AC092024-18241,A & T FISHMONGER,Retailers - other,4613,1,fhrs_1_en-GB,2025-03-05,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,83 Beresford Road,Manchester,M13 0TA,,
1943794,AC042026-26843,A 2 Z Mini Market,Retailers - other,4613,AwaitingInspection,fhrs_awaitinginspection_en-GB,,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,369 VICTORIA AVENUE,MANCHESTER,M9 8WQ,,
1894367,AC082025-23764,A Good Life,Retailers - other,4613,5,fhrs_5_en-GB,2026-03-20,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,,,,,
1817162,AC-072024-005875,A Little Sweet,Takeaway/sandwich shop,7844,5,fhrs_5_en-GB,2024-03-15,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,58-60 Higher Ardwick,Manchester,M12 6DA,Kitchen 7 Ghost x Kitchens,
1816507,AC-072024-005093,A Nice Sip,Retailers - other,4613,4,fhrs_4_en-GB,2025-06-08,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,49 High Street,Manchester,M4 3AH,Unit 13-14 Manchester Arndale Market,
1831218,AC052025-22033,A Piece of Cake,Retailers - other,4613,AwaitingInspection,fhrs_awaitinginspection_en-GB,,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,67 Rochdale Road,Manchester,M4 4HU,,
1820078,AC-072024-014815,A Plus Oriental Restaurant,Restaurant/Cafe/Canteen,1,1,fhrs_1_en-GB,2025-12-08,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,52 George Street,Manchester,M1 4HF,Ground Floor And First Floor,
1831033,AC032025-21249,A Sporting Chance,Restaurant/Cafe/Canteen,1,AwaitingInspection,fhrs_awaitinginspection_en-GB,,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,Chicago Avenue,Manchester,M90 3DF,Terminal 3 Departures Manchester Airport,
1821466,AC-072024-016478,A$AP Coffee,Restaurant/Cafe/Canteen,1,4,fhrs_4_en-GB,2023-08-30,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,Hatch Court 103 Oxford Road Manchester M1 7Ed,Manchester,M1 7ED,Hatch Court,
1816674,AC-072024-005297,A&BONLINENUTRITION LTD,Retailers - other,4613,5,fhrs_5_en-GB,2023-09-20,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,173-175 Cheetham Hill Road,Manchester,M8 8LG,First Floor Suite 6 Office C The Point,
1818903,AC-072024-013367,A1 Balti House,Takeaway/sandwich shop,7844,4,fhrs_4_en-GB,2024-09-20,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,True,,124 Sale Road,Manchester,M23 0BX,,
1820343,AC-072024-015140,A1 Pound Store,Retailers - other,4613,5,fhrs_5_en-GB,2014-05-29,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,595C Stockport Road,Manchester,M13 0RX,,
1943765,AC042026-26773,A1 vegan Chinese,Other catering premises,7841,AwaitingInspection,fhrs_awaitinginspection_en-GB,,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,,,,,
1923319,AC032026-26523,A6 Mobile & Convenience Store,Retailers - other,4613,AwaitingInspection,fhrs_awaitinginspection_en-GB,,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,320 MOSTON LANE,MANCHESTER,M40 9WB,,
1816513,AC-072024-005100,A6 Off Licence,Retailers - other,4613,4,fhrs_4_en-GB,2023-09-12,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,797 Stockport Road,Manchester,M19 3DL,,
1894394,AC082025-23869,Aahaa indian kitchen & Bar,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,2025-11-24,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,125 Manchester Road,Manchester,M21 9PG,,
1816993,AC-072024-005669,Aatma,Restaurant/Cafe/Canteen,1,3,fhrs_3_en-GB,2025-08-01,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,14-16 Faraday Street,Manchester,M1 1BE,First & Third Floors,
1820967,AC-072024-015885,AB Afro Caribbean Food Store,Retailers - other,4613,1,fhrs_1_en-GB,2025-03-03,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,185 Princess Road,Manchester,M14 4RL,,
1816483,AC-072024-005062,Abakus - U Marlenki Ltd,Retailers - other,4613,5,fhrs_5_en-GB,2022-07-12,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,295 Palatine Road,Manchester,M22 4HH,,
1867643,AC082025-23501,ABAN Express,Other catering premises,7841,5,fhrs_5_en-GB,2025-09-11,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,,,,,
1820175,AC-072024-014928,Abaseen,Takeaway/sandwich shop,7844,2,fhrs_2_en-GB,2025-04-18,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,484 Cheetham Hill Road,Manchester,M8 9JW,,
1816633,AC-072024-005245,Abaseen,Restaurant/Cafe/Canteen,1,3,fhrs_3_en-GB,2025-01-21,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,999 Stockport Road,Manchester,M19 2SY,999 Stockport Road Manchester M19 2SY,
1817485,AC-072024-006251,Abbey College Manchester,School/college/university,7845,5,fhrs_5_en-GB,2025-09-04,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,27 Turner Street,Manchester,M4 1DG,Clydesdale House,
1819392,AC-072024-013957,Abbey Hey AFC,Other catering premises,7841,4,fhrs_4_en-GB,2023-09-29,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,Goredale Avenue,Manchester,M18 7HD,,
1818012,AC-072024-006872,Abbey Hey Before & After School Club,Hospitals/Childcare/Caring Premises,5,4,fhrs_4_en-GB,2024-09-24,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,461 Abbey Hey Lane,Manchester,M18 8RR,,
1820419,AC-072024-015235,Abbey Hey Mini Market,Retailers - other,4613,3,fhrs_3_en-GB,2024-09-16,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,350 Abbey Hey Lane,Manchester,M18 8RP,,
1816630,AC-072024-005242,Abbey Hey Primary Academy also T/as Taylorshaw @ Abbey Hey Academy,School/college/university,7845,5,fhrs_5_en-GB,2025-09-25,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,Abbey Hey Lane,Manchester,M18 8PF,Abbey Hey Primary School,
1820997,AC-072024-015919,Abbey Hey Superstore,Retailers - other,4613,4,fhrs_4_en-GB,2025-03-19,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,Lees Street,Manchester,M18 8QU,Unit 8 Enterprise Trading Estate,
1819095,AC-072024-013617,Abbey Hotel,Hotel/bed & breakfast/guest house,7842,5,fhrs_5_en-GB,2019-09-16,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,139-141 Woodlands Road,Manchester,M8 0NG,,
1817117,AC-072024-005821,Abbey's Cafe,Restaurant/Cafe/Canteen,1,4,fhrs_4_en-GB,2023-09-29,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,Goredale Avenue,Manchester,M18 7HD,Abbey Hey Fc,
1819350,AC-072024-013903,Abbotsford Care Home,Hospitals/Childcare/Caring Premises,5,5,fhrs_5_en-GB,2026-03-16,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,8 Carlton Road,Manchester,M16 8BB,,
1819354,AC-072024-013907,Abbott Community Primary School,School/college/university,7845,2,fhrs_2_en-GB,2025-03-03,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,Livesey Street,Manchester,M40 7PR,,
1819447,AC-072024-014021,Abdul's food to go,Takeaway/sandwich shop,7844,3,fhrs_3_en-GB,2025-11-03,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,324-326 Wilmslow Road,Manchester,M14 6XQ,,
1831275,AC-072024-013328,Abduls Supermarket & Off Licence,Retailers - other,4613,2,fhrs_2_en-GB,2025-08-28,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,1-5 Greenheys Lane,Manchester,M15 6NQ,,
1817247,AC-072024-005972,Abeja Tapas Bar also T/as Abeja Tapas Mobile,Other catering premises,7841,5,fhrs_5_en-GB,2024-12-03,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,,,,,
1818214,AC-072024-007128,ABELON,Retailers - other,4613,5,fhrs_5_en-GB,2024-11-03,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,,,,,
1818350,AC-072024-007511,Abepina Food Corner,Other catering premises,7841,AwaitingInspection,fhrs_awaitinginspection_en-GB,,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,,,,,
1870677,AC072025-23082,Abigail Kitchen,Takeaway/sandwich shop,7844,AwaitingInspection,fhrs_awaitinginspection_en-GB,,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,267 UPPER BROOK STREET,MANCHESTER,M13 0HR,UNIT B,
1818993,AC-072024-013494,Abode Manchester,Hotel/bed & breakfast/guest house,7842,5,fhrs_5_en-GB,2022-11-25,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,107 Piccadilly,Manchester,M1 2DB,,
1894491,AC092025-24275,Abraham Moss Community Primary School,School/college/university,7845,5,fhrs_5_en-GB,2025-10-08,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,CRESCENT ROAD,MANCHESTER,M8 5UF,ABRAHAM MOSS COMMUNITY PRIMARY SCHOOL,
1818165,AC-072024-007055,Abraham Moss High School,School/college/university,7845,5,fhrs_5_en-GB,2024-09-05,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,Crescent Road,Manchester,M8 5UF,,
1820479,AC-072024-015307,Abu Mazen Mini Market,Retailers - other,4613,5,fhrs_5_en-GB,2022-11-29,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,105 Greame Street,Manchester,M14 4RN,,
1821440,AC-072024-016448,Aby's,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,2025-02-18,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,3 Lansdowne Road,Manchester,M8 5SF,,
1821637,AC072024-16701,Aby's Biryani Rusholme,Restaurant/Cafe/Canteen,1,4,fhrs_4_en-GB,2025-03-03,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,199-201 Wilmslow Road,Manchester,M14 5AQ,,
1820150,AC-072024-014900,AC Hotel by Marriot,Hotel/bed & breakfast/guest house,7842,5,fhrs_5_en-GB,2024-09-27,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,15 Mason Street,Manchester,M4 5FT,,
1831097,AC042025-21503,AC ICES - Sivoris - (PN66 KDF),Mobile caterer,7846,5,fhrs_5_en-GB,2025-09-12,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,289 Barlow Road,Manchester,M19 3HQ,,
1821343,AC-072024-016339,Acacia Lodge,Hospitals/Childcare/Caring Premises,5,5,fhrs_5_en-GB,2025-04-10,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,90A Broadway,Manchester,M40 3WQ,,
1820755,AC-072024-015626,Acacias Community Primary School,School/college/university,7845,5,fhrs_5_en-GB,2025-11-19,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,Alexandra Drive,Manchester,M19 2WW,,
1822017,AC112024-19088,Acai And The Tribe,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,2025-03-04,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,243 Deansgate,Manchester,M3 4EN,,
1818316,AC-072024-007463,Acai Bowls MCR,Restaurant/Cafe/Canteen,1,AwaitingInspection,fhrs_awaitinginspection_en-GB,,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,Great Northern Square,Manchester,M2 5QR,,
1870744,AC072025-23319,ACAII,Restaurant/Cafe/Canteen,1,4,fhrs_4_en-GB,2025-11-19,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,404 Barlow Moor Road,Manchester,M21 8AD,,
1817408,AC-072024-006153,Accent Catering,Other catering premises,7841,5,fhrs_5_en-GB,2025-03-05,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,1500 Aviator Way,Manchester,M22 5TG,Costain House,
1819326,AC-072024-013876,ACCG - The Claremont Centre,Hospitals/Childcare/Caring Premises,5,5,fhrs_5_en-GB,2025-04-14,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,2 Jarvis Road,Manchester,M15 5FS,Claremont Centre,
1817173,AC-072024-005887,ACE Newsagent,Retailers - other,4613,5,fhrs_5_en-GB,2024-03-12,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,882 Stockport Road,Manchester,M19 3AD,,
1943843,AC042026-26996,Acharies,Other catering premises,7841,AwaitingInspection,fhrs_awaitinginspection_en-GB,,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,,,,,
1820043,AC-072024-014763,Achieve Together,Hospitals/Childcare/Caring Premises,5,5,fhrs_5_en-GB,2023-01-27,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,111 Crescent Road,Manchester,M8 9WT,,
1816840,AC-072024-005489,Acorn Grove Nursery,Hospitals/Childcare/Caring Premises,5,5,fhrs_5_en-GB,2025-09-05,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,Shirley Road,Manchester,M8 0NE,Woodville Resource Centre,
1820992,AC-072024-015912,Across Ummah CIC,Retailers - other,4613,5,fhrs_5_en-GB,2023-09-01,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,Highmead Street,Manchester,M18 8PE,Gorton Community Centre,
1819501,AC-072024-014086,Ad - Hoc Wines,Retailers - other,4613,5,fhrs_5_en-GB,2022-04-19,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,28 Edge Street,Manchester,M4 1HN,,
1818480,AC-072024-007688,Ad Maiora,Takeaway/sandwich shop,7844,5,fhrs_5_en-GB,2024-09-22,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,23 Radium Street,Manchester,M4 6AY,,
1816285,AC022025-20357,AD MAIORA,Takeaway/sandwich shop,7844,4,fhrs_4_en-GB,2026-02-26,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,84 TIB STREET,MANCHESTER,M4 1LG,,
1820841,AC-072024-015732,Adams Caterers,Mobile caterer,7846,4,fhrs_4_en-GB,2025-06-12,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,Southmoor Road,Manchester,M23 9NR,,
1820875,AC-072024-015777,Adams News,Retailers - other,4613,5,fhrs_5_en-GB,2017-04-03,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,62 Crumpsall Lane,Manchester,M8 5SG,,
